;0;0
высокоактивен;13;4,10
беспроигрышен;13;6
сорокаминутен;13;6,10
внутрипартиен;13;6,11
бесхарактерен;13;7
бессознателен;13;8
безалкалоиден;13;9
аббревиатурен;13;10
благопристоен;13;11
новоизобретён;13;12
автогенератора;14;1,10
антифрикционна;14;1,11
выбронзирована;14;2
жилстроительна;14;2,8
силосоуборочна;14;2,9
мотороремонтна;14;2,10
межбиблиотечна;14;2,11
дуплекс-машина;14;2,12
трёхсполовинна;14;3
эфирномаслична;14;3,8
хлопкоуборочна;14;3,9
звукосигнальна;14;3,10
двухсполовинна;14;3,11
азотобактерина;14;3,12
механосборочна;14;4,9
вагоноремонтна;14;4,10
высокотехнична;14;4,11
четырёхгодична;14;6
внутрипартийна;14;6,11
предуведомлена;14;7
бессознательна;14;8
безотговорочна;14;9
восьмивесельна;14;10
авантюристична;14;11
заинтересовала;14;12
бортпроводника;14;14
автомашинистов;14;1,10
агломератчиков;14;8
агрометеоролог;14;1,11
агрометеоролога;15;1,11
агрометеорологам;16;1,11
поадминистративнее;18;14
агрометеорологами;17;1,11
англосаксонские;15;1,10
агрометеорологе;15;1,11
горнозаводчике;14;2,9
белоэмигрантке;14;2,10
кормозаготовке;14;2,11
дуплекс-машине;14;2,12
снежноягоднике;14;3,7
пробоотборнике;14;3,9
звукоснимателе;14;3,10
дровозаготовке;14;3,11
штабс-капитане;14;3,12
механосборщике;14;4,9
бумагомарателе;14;4,10
троллейбуснике;14;6
послезавтрашне;14;7
второкласснике;14;8
внутриплоднике;14;9
воспламенителе;14;10
антропологизме;14;11
бортпроводнике;14;14
жилстроительнее;15;2,8
поавиадесантнее;15;3,10
поантипартийнее;15;3,11
актёрствовавшее;15;4
вагоноремонтнее;15;4,10
повенчиковиднее;15;4,11
внутрипартийнее;15;6,11
добровольческие;15;7
абстрагирование;15;8
повнутриядернее;15;8,9
повнутрисоюзнее;15;8,11
безотговорочнее;15;9
поабдоминальнее;15;10
поаберрационнее;15;11
повосстановимее;15;12
агрометеорологии;16;1,13
агрометеорологий;16;1,13
абстрагированием;16;8
похлопчатобумажнее;18;8,14
похлопчатобумажней;18;8,14
агрометеорологи;15;1,11
абстрагировании;15;8
агрометеорологии;16;1,13
агрометеорологиями;18;1,13
англосаксонский;15;1,10
антифрикционней;15;1,11
автомагистралей;15;1,12
жилстроительней;15;2,8
водоизмерителей;15;2,10
поавиадесантней;15;3,10
поантипартийней;15;3,11
актёрствовавший;15;4
бумагомарателей;15;4,10
повенчиковидней;15;4,11
внутрипартийней;15;6,11
добровольческий;15;7
абстрагирований;15;8
повнутриядерней;15;8,9
повнутрисоюзней;15;8,11
безотговорочней;15;9
поабдоминальней;15;10
поаберрационней;15;11
повосстановимей;15;12
железнодорожник;15;11
железнодорожника;16;11
железнодорожниками;18;11
железнодорожнике;16;11
англосаксонским;15;1,10
горнозаводчикам;15;2,9
белоэмигранткам;15;2,10
кормозаготовкам;15;2,11
дуплекс-машинам;15;2,12
снежноягодникам;15;3,7
пробоотборникам;15;3,9
дровозаготовкам;15;3,11
азотобактеринам;15;3,12
механосборщикам;15;4,9
бумагомарателем;15;4,10
троллейбусникам;15;6
добровольческим;15;7
второклассникам;15;8
внутриплодникам;15;9
александрийским;15;10
антропологизмам;15;11
бортпроводникам;15;14
доппель-центнера;16;2,10
металлокомбината;16;4,14
вдохновительница;16;8
железнодорожница;16;11
металлокомбинатам;17;4,14
доппель-центнерами;18;2,10
металлокомбинатами;18;4,14
вдохновительницами;18;8
железнодорожницами;18;11
металлокомбинатах;17;4,14
доппель-центнере;16;2,10
металлокомбинате;16;4,14
вдохновительнице;16;8
железнодорожнице;16;11
англосаксонскими;16;1,10
горнозаводчиками;16;2,9
белоэмигрантками;16;2,10
кормозаготовками;16;2,11
дуплекс-машинами;16;2,12
снежноягодниками;16;3,7
пробоотборниками;16;3,9
дровозаготовками;16;3,11
азотобактеринами;16;3,12
механосборщиками;16;4,9
троллейбусниками;16;6
добровольческими;16;7
второклассниками;16;8
внутриплодниками;16;9
александрийскими;16;10
антропологизмами;16;11
бортпроводниками;16;14
железнодорожников;17;11
антиобщественен;15;1,8
водоизмерителен;15;2,10
древнеписьменен;15;3,8
бесхозяйственен;15;7
жестколиственен;15;8
воссоединителен;15;10
безапелляционен;15;12
доппель-центнер;15;2,10
доппель-центнеров;17;2,10
металлокомбинатов;17;4,14
восьмидесятилетие;17;6,14
лимфогранулематоза;18;2,16
лимфогранулематозам;19;2,16
лимфогранулематозами;20;2,16
лимфогранулематозах;19;2,16
лимфогранулематозе;18;2,16
поэкстраординарнее;18;3,14
пометаллопрокатнее;18;6,14
поглубокомысленнее;18;11
позаблаговременнее;18;12
поэкстраординарней;18;3,14
металлокомбинат;15;4,14
пометаллопрокатней;18;6,14
лимфогранулематоз;17;2,16
лимфогранулематозов;19;2,16
лимфогранулематозом;19;2,16
лимфогранулематозу;18;2,16
лимфогранулематозы;18;2,16
восьмидесятилетии;17;6,14
разлюбезничалась;16;7
разграничивалась;16;8
поэкзаменовалась;16;12
посубстанциональнее;19;14
попротивостолбнячнее;20;16
попротивостолбнячней;20;16
посубстанциональней;19;14
коннозаводчиках;15;2,9
ферромагнетиках;15;2,10
кормозаготовках;15;2,11
контр-адмиралах;15;2,12
снежноягодниках;15;3,7
пробоотборниках;15;3,9
пресс-маслёнках;15;3,11
штабс-капитанах;15;3,12
механосборщиках;15;4,9
троллейбусниках;15;6
комплиментщиках;15;8
огнепоклонниках;15;9
контрабасистках;15;10
импрессионизмах;15;11
полупроводниках;15;14
малообщительная;15;2,8
силосоуборочная;15;2,9
мотороремонтная;15;2,10
межбиблиотечная;15;2,11
разновозрастная;15;2,14
эфирномасличная;15;3,8
хлопкоуборочная;15;3,9
звукосигнальная;15;3,10
трёхсполовинная;15;3,11
почувствованная;15;4
механосборочная;15;4,9
машиноремонтная;15;4,10
непарнокопытная;15;4,11
кристалловидная;15;6,11
заприходованная;15;7
законодательная;15;8
заинтригованная;15;9
консерваторская;15;10
иллюминационная;15;11
невознаградимая;15;12
асфальтированиями;17;8
металлокомбинатом;17;4,14
металлокомбинату;16;4,14
металлокомбинаты;16;4,14
избродяжничалась;16;7
компенсировалась;16;8
облагообразилась;16;10
заинтересовалась;16;12
августовского;13;1
автотракторно;13;1,7
агрофизическо;13;1,8
общеславянско;13;1,9
антисанитарно;13;1,10
ярко-голубого;13;1,11
бешенствовало;13;2
малооблачного;13;2,5
вест-индского;13;2,6
ватерпольного;13;2,7
водоприёмного;13;2,8
виноторгового;13;2,9
верхненемецко;13;2,10
ветросилового;13;2,11
амурничающего;13;3
трёхбалльного;13;3,6
охотоведческо;13;3,7
азотнокислого;13;3,8
крупносерийно;13;3,10
вневойскового;13;3,11
актёрствовало;13;4
высокоценного;13;4,8
высокоактивно;13;4,10
дубинноголово;13;4,11
безведренного;13;5
азианического;13;6
сорокаминутно;13;6,10
азимутального;13;7
абитуриентско;13;8
безалкалоидно;13;9
аббревиатурно;13;10
вознегодовало;13;11
бледно-голубо;13;13
овощехранилища;14;1,10
бундесканцлера;14;2,8
реокардиографа;14;2,9
бензохранилища;14;2,10
горнодобывающа;14;2,11
бортпроводница;14;2,12
звукооператора;14;3,10
крупнозерниста;14;3,11
пресс-автомата;14;3,12
существеннейша;14;4
архаромериноса;14;4,12
всеподданнейша;14;5
приват-доцента;14;5,11
генерал-майора;14;6,12
великолепнейша;14;8
кристаллографа;14;9
гетерогенезиса;14;10
импрессиониста;14;11
кандиль-синапа;14;12
поверетенообразнее;18;14
обер-кельнеров;14;1,7
околоцветников;14;1,8
антилогарифмов;14;1,10
антиэлектронов;14;1,11
тёмно-фиолетов;14;2
жижеприёмников;14;2,8
патофизиологов;14;2,9
белоэмигрантов;14;2,10
вендиспансеров;14;2,11
свойственников;14;3
птицемлечников;14;3,8
врубмашинистов;14;3,10
вскормленников;14;4
гешефтмахерств;14;4,8
натурфилософов;14;4,9
вагонооборотов;14;4,11
подсолнечников;14;5
двугривенников;14;6
багермейстеров;14;7
антисоветчиков;14;8
анестезиологов;14;9
антрепренёрств;14;10
интеллектуалов;14;11
вневойсковиков;14;13
ультрафиолетова;15;1,11
тёмно-фиолетова;15;2
неогегельянства;15;2,10
гешефтмахерства;15;4,8
добровольчества;15;7
колонизаторства;15;8
антрепренёрства;15;10
черепно-мозгова;15;15
повнешнеторговее;16;5,13
повнешнеторговей;16;5,13
запрограммировал;16;11
вредительствовала;17;5
самохвальствовала;17;7
политиканствовала;17;8
зажестикулировала;17;11
нагреховодничаете;17;9
почетырёхгодовалее;18;8,15
нагреховодничавшее;18;9
покороткометражнее;18;14
неогегельянствами;17;2,10
гешефтмахерствами;17;4,8
вредительствовали;17;5
добровольчествами;17;7
колонизаторствами;17;8
антрепренёрствами;17;10
зажестикулировали;17;11
терморегулирование;18;2,11
усовершенствование;18;8
нагреховодничавшие;18;9
коллекционирование;18;11
запрограммировало;17;11
вредительствовавшего;20;5
самохвальствовавшего;20;7
политиканствовавшего;20;8
зажестикулировавшего;20;11
свидетельствовавшегося;22;5
израболепствовавшегося;22;8
отрекомендовывающегося;22;11
вредительствовавшее;19;5
самохвальствовавшее;19;7
политиканствовавшее;19;8
попродовольственнее;19;9
зажестикулировавшее;19;11
свидетельствовавшееся;21;5
израболепствовавшееся;21;8
отрекомендовывающееся;21;11
нагреховодничавшими;19;9
вредительствовавший;19;5
самохвальствовавший;19;7
политиканствовавший;19;8
попродовольственней;19;9
зажестикулировавший;19;11
свидетельствовавшийся;21;5
израболепствовавшийся;21;8
отрекомендовывающийся;21;11
терморегулированиям;19;2,11
вредительствовавшим;19;5
самохвальствовавшим;19;7
политиканствовавшим;19;8
зажестикулировавшим;19;11
терморегулированиями;20;2,11
вредительствовавшими;20;5
самохвальствовавшими;20;7
политиканствовавшими;20;8
зажестикулировавшими;20;11
свидетельствовавшимися;22;5
израболепствовавшимися;22;8
отрекомендовывающимися;22;11
свидетельствовавшаяся;21;5
израболепствовавшаяся;21;8
отрекомендовывающаяся;21;11
вредительствовавшему;20;5
самохвальствовавшему;20;7
политиканствовавшему;20;8
зажестикулировавшему;20;11
свидетельствовавшемуся;22;5
израболепствовавшемуся;22;8
отрекомендовывающемуся;22;11
нагреховодничавшего;19;9
отрекомендовываетесь;20;11
вредительствовавших;19;5
самохвальствовавших;19;7
политиканствовавших;19;8
зажестикулировавших;19;11
израболепствовалась;19;8
вредительствовавшею;19;5
самохвальствовавшею;19;7
политиканствовавшею;19;8
зажестикулировавшую;19;11
вредительствовавшая;19;5
самохвальствовавшая;19;7
политиканствовавшая;19;8
зажестикулировавшая;19;11
ультрафиолетовее;16;1,11
тёмно-фиолётовее;16;2,11
попластинниковее;16;8
помиллиграммовее;16;10
попротивогазовее;16;11
покороткоголовее;16;13
помелкогрупповее;16;15
ультрафиолетовей;16;1,11
тёмно-фиолётовей;16;2,11
попластинниковей;16;8
помиллиграммовей;16;10
попротивогазовей;16;11
покороткоголовей;16;13
помелкогрупповей;16;15
правительствовал;16;5
самохвальствовал;16;7
политиканствовал;16;8
запротоколировал;16;11
почетырёхгодовалей;18;8,15
израболепствовался;18;8
неогегельянствам;16;2,10
колонизаторствам;16;8
нагреховодничаем;16;9
запрограммирован;16;11
запротоколированная;19;11
терморегулировании;18;2,11
усовершенствовании;18;8
коллекционировании;18;11
терморегулирований;18;2,11
усовершенствований;18;8
нагреховодничавший;18;9
коллекционирований;18;11
покороткометражней;18;14
нагреховодничавшим;18;9
перебаллотированного;20;11
перебаллотированное;19;11
разгильдяйничавшими;19;9
перебаллотированный;19;11
перебаллотированным;19;11
перебаллотированными;20;11
противоестественностей;22;11
противоестественности;21;11
противоестественность;21;11
противоестественностям;22;11
противоестественностями;23;11
противоестественностях;22;11
противоестественностью;22;11
перебаллотированному;20;11
разгильдяйничает;16;9
нагреховодничавшему;19;9
перебаллотированных;19;11
свидетельствовалась;19;5
усовершенствовалась;19;8
отрекомендовывалась;19;11
правительствовавшую;19;5
самохвальствовавшую;19;7
политиканствовавшую;19;8
перебаллотировавшую;19;11
отрекомендовывающуюся;21;11
отрекомендовываемся;19;11
нагреховодничавших;18;9
правительствовало;17;5
самохвальствовало;17;7
политиканствовало;17;8
перебаллотировано;17;11
отрекомендовываюсь;18;11
отрекомендовываешься;20;11
терморегулированию;18;2,11
усовершенствованию;18;8
нагреховодничавшую;18;9
коллекционированию;18;11
терморегулирования;18;2,11
свидетельствовался;18;5
усовершенствования;18;8
нагреховодничавшая;18;9
коллекционирования;18;11
терморегулированиях;19;2,11
усовершенствованиях;19;8
микрофильмированиях;19;11
перебаллотировало;17;11
запрограммированы;17;11
нагреховодничает;16;9
правительствовать;17;5
самохвальствовать;17;7
политиканствовать;17;8
нагреховодничаешь;17;9
запрограммировать;17;11
свидетельствоваться;19;5
израболепствоваться;19;8
отрекомендовываться;19;11
неогегельянствах;16;2,10
колонизаторствах;16;8
ультрафиолетовая;16;1,11
тёмно-фиолетовая;16;2,11
черепно-мозговая;16;2,15
неогегельянстве;15;2,10
гешефтмахерстве;15;4,8
добровольчестве;15;7
колонизаторстве;15;8
антрепренёрстве;15;10
околосолнечное;14;1,7
общефизическое;14;1,8
общеславянское;14;1,9
овощехранилище;14;1,10
ультразвуковое;14;1,13
подданническое;14;2
малоприбыльное;14;2,7
лесохимическое;14;2,8
коннозаводское;14;2,9
карчеподъёмное;14;2,10
конногвардейце;14;2,11
киноаппаратуре;14;2,12
коннозаводское;14;2,13
сверстническое;14;3
охотоведческое;14;3,7
среднемесячное;14;3,8
книгохранилище;14;3,10
плодоизгоняюще;14;3,11
пресс-автомате;14;3,12
светло-голубое;14;3,13
наместническое;14;4
кашицеобразное;14;4,10
колонновожатые;14;4,11
наставническое;14;5
приват-доценте;14;5,11
обессахаренное;14;6
четырёхдольное;14;6,9
сорокаминутное;14;6,10
книговедческое;14;7
аллегоричностей;15;8
нагреховодничай;15;9
нагреховодничал;15;9
нагреховодничала;16;9
перебаллотировка;16;13
перебаллотировкам;17;13
перебаллотировками;18;13
перебаллотировках;17;13
алмазозаменителе;16;4,12
перебаллотировке;16;13
алмазозаменители;16;4,12
алмазозаменителями;18;4,12
автогенераторам;15;1,10
бундесканцлерам;15;2,8
реокардиографам;15;2,9
бензохранилищам;15;2,10
конногвардейцам;15;2,11
бортпроводницам;15;2,12
звукооператорам;15;3,10
тред-юнионистам;15;3,11
пресс-автоматам;15;3,12
актёрствовавшим;15;4
архаромериносам;15;4,12
приват-доцентам;15;5,11
генерал-майорам;15;6,12
второклассницам;15;8
кристаллографам;15;9
гетерогенезисам;15;10
импрессионистам;15;11
кандиль-синапам;15;12
автогенераторами;16;1,10
бундесканцлерами;16;2,8
реокардиографами;16;2,9
бензохранилищами;16;2,10
конногвардейцами;16;2,11
бортпроводницами;16;2,12
звукооператорами;16;3,10
тред-юнионистами;16;3,11
пресс-автоматами;16;3,12
актёрствовавшими;16;4
архаромериносами;16;4,12
приват-доцентами;16;5,11
генерал-майорами;16;6,12
второклассницами;16;8
кристаллографами;16;9
гетерогенезисами;16;10
импрессионистами;16;11
кандиль-синапами;16;12
перебаллотировки;16;13
нагреховодничало;16;9
нагреховодничайте;17;9
перебаллотировкой;17;13
перебаллотировкою;17;13
перебаллотировку;16;13
автобиографичен;15;1,12
неблаговоспитан;15;12
неблаговоспитанна;17;12
потретьеразряднее;17;13
потретьеразрядней;17;13
генерал-полковника;18;6,13
генерал-полковникам;19;6,13
генерал-полковниками;20;6,13
неблаговоспитанного;19;12
генерал-полковниках;19;6,13
поновоизобретённее;18;4,14
генерал-полковнике;18;6,13
поблаговоспитаннее;18;12
почетырёхпроцёнтнее;19;8,14
почетырёхпроцёнтней;19;8,14
генерал-полковники;18;6,13
поновоизобретённей;18;4,14
неблаговоспитанно;17;12
неблаговоспитанный;18;12
неблаговоспитанным;18;12
неблаговоспитанными;19;12
неблаговоспитанностей;21;12
неблаговоспитанности;20;12
неблаговоспитанность;20;12
неблаговоспитанностям;21;12
неблаговоспитанностями;22;12
неблаговоспитанностях;21;12
неблаговоспитанностью;21;12
неблаговоспитанному;19;12
неблаговоспитанных;18;12
неблаговоспитанную;18;12
неблаговоспитанная;18;12
неблаговоспитанны;17;12
автотракторного;15;1,7
агрофизического;15;1,8
общеславянского;15;1,9
антисанитарного;15;1,10
ультрафиолетово;15;1,11
ультразвукового;15;1,13
выконопаченного;15;2
малоприбыльного;15;2,7
вышеозначенного;15;2,8
коннозаводского;15;2,9
верхненемецкого;15;2,10
коннозаводского;15;2,13
взяточнического;15;3
охотоведческого;15;3,7
среднемесячного;15;3,8
грузоподъёмного;15;3,10
правофлангового;15;3,11
бледно-голубого;15;3,13
наместнического;15;4
гешефтмахерство;15;4,8
казённокоштного;15;4,9
высокоактивного;15;4,10
дубинноголового;15;4,11
душевнобольного;15;4,13
бродяжнического;15;5
беспроигрышного;15;6
четырёхдольного;15;6,9
сорокаминутного;15;6,10
внутричерепного;15;6,13
архидиаконского;15;7
абитуриентского;15;8
безалкалоидного;15;9
аббревиатурного;15;10
коротковолосого;15;11
второочередного;15;13
черепно-мозгово;15;15
кристаллогидрата;16;6,14
агрометеорологов;16;1,11
электроинтегратора;18;3,14
электроинтеграторам;19;3,14
электроинтеграторах;19;3,14
поблагодушествовавшего;22;9
антрепренёрствовавшего;22;10
поблагодушествовавшее;21;9
антрепренёрствовавшее;21;10
поблагодушествовавший;21;9
антрепренёрствовавший;21;10
поблагодушествовавшим;21;9
антрепренёрствовавшим;21;10
поблагодушествовавшими;22;9
антрепренёрствовавшими;22;10
поблагодушествовавшему;22;9
антрепренёрствовавшему;22;10
поблагодушествовавших;21;9
антрепренёрствовавших;21;10
поблагодушествовавшую;21;9
антрепренёрствовавшую;21;10
поблагодушествовавшая;21;9
антрепренёрствовавшая;21;10
ультрафиолетовое;16;1,11
тёмно-фиолетовое;16;2,11
черепно-мозговое;16;2,15
ультрафиолетовой;16;1,11
тёмно-фиолетовой;16;2,11
черепно-мозговой;16;2,15
кристаллогидрат;15;6,14
кристаллогидрате;16;6,14
кристаллогидратов;17;6,14
помногоколенчатее;17;11
помногоколенчатей;17;11
кристаллогидратам;17;6,14
ультрафиолетового;17;1,11
тёмно-фиолетового;17;2,11
черепно-мозгового;17;2,15
электроинтегратор;17;3,14
электроинтеграторами;20;3,14
электроинтеграторе;18;3,14
неогегельянству;15;2,10
колонизаторству;15;8
поблагодушествуем;17;9
поблагодушествует;17;9
антрепренёрствующая;19;10
поблагодушествуете;18;9
антрепренёрствуете;18;10
поблагодушествуй;16;9
антрепренёрствуй;16;10
антрепренёрствуйте;18;10
поблагодушествовала;19;9
поблагодушествовали;19;9
кристаллогидратах;17;6,14
перебаллотировок;16;13
ультрафиолетовом;16;1,11
неогегельянством;16;2,10
тёмно-фиолетовом;16;2,11
черепно-мозговом;16;2,15
колонизаторством;16;8
электроинтеграторов;19;3,14
электроинтегратором;19;3,14
ультрафиолетовому;17;1,11
тёмно-фиолетовому;17;2,11
черепно-мозговому;17;2,15
кристаллогидрату;16;6,14
кристаллогидраты;16;6,14
абстрагировалась;16;8
нагреховодничать;16;9
ультрафиолетовую;16;1,11
тёмно-фиолетовую;16;2,11
черепно-мозговую;16;2,15
поблагодушествую;16;9
антрепренёрствующего;20;10
антрепренёрствующее;19;10
антрепренёрствующий;19;10
антрепренёрствующим;19;10
антрепренёрствующими;20;10
антрепренёрствующему;20;10
поблагодушествовало;19;9
антрепренёрствующих;19;10
поблагодушествовать;19;9
антрепренёрствующею;19;10
кристаллогидратами;18;6,14
поблагодушествовал;18;9
электроинтегратору;18;3,14
электроинтеграторы;18;3,14
поблагодушествуешь;18;9
поблагодушествуя;16;9
полуразложившася;16;11
овощехранилищах;15;1,10
реокардиографах;15;2,9
маслохранилищах;15;2,10
конногвардейцах;15;2,11
киноаппаратурах;15;2,12
звукооператорах;15;3,10
тред-юнионистах;15;3,11
пресс-автоматах;15;3,12
приват-доцентах;15;5,11
инженер-майорах;15;6,12
первоклассницах;15;8
кристаллографах;15;9
зернохранилищах;15;10
импрессионистах;15;11
кандиль-синапах;15;12
ультрафиолетовы;15;1,11
тёмно-фиолётовы;15;2,11
черепно-мозговы;15;15
разгильдяйничающего;19;9
разгильдяйничающее;18;9
разгильдяйничающий;18;9
разгильдяйничающим;18;9
разгильдяйничающими;19;9
разгильдяйничающих;18;9
разгильдяйничающую;18;9
перебаллотировывающегося;24;13
перебаллотировывающийся;23;13
перебаллотировываетесь;22;13
перебаллотировывалась;21;13
перебаллотировывающуюся;23;13
перебаллотировываться;21;13
перебаллотировывающаяся;23;13
перебаллотировываюсь;20;13
перебаллотировываешься;22;13
перебаллотировывался;20;13
ультрафиолетовые;16;1,11
тёмно-фиолетовые;16;2,11
черепно-мозговые;16;2,15
ультрафиолетовый;16;1,11
тёмно-фиолетовый;16;2,11
ультрафиолетовым;16;1,11
тёмно-фиолетовым;16;2,11
черепно-мозговым;16;2,15
ультрафиолетовыми;17;1,11
тёмно-фиолетовыми;17;2,11
черепно-мозговыми;17;2,15
нагреховодничаю;15;9
нагреховодничают;16;9
ультрафиолетовых;16;1,11
тёмно-фиолетовых;16;2,11
черепно-мозговых;16;2,15
разгильдяйничающему;19;9
разгильдяйничающая;18;9
иночествовавшая;15;1
нищенствовавшая;15;2
кормодобывающая;15;2,11
смудрствовавшая;15;3
крупнозернистая;15;3,11
скоропреходящая;15;3,12
здравствовавшая;15;4
пиршествовавшая;15;5
откомандовавшая;15;6
заприходовавшая;15;7
ниспровергнутая;15;8
нагреховодничая;15;9
заинтриговавшая;15;11
набедствовавшаяся;17;4
поскальзывающаяся;17;5
запрокидывающаяся;17;7
порастрескавшаяся;17;8
наодеколонившаяся;17;9
заинтриговавшаяся;17;11
автотракторное;14;1,7
агрофизическое;14;1,8
автогенераторе;14;1,10
выконопаченное;14;2
бундесканцлере;14;2,8
бензохранилище;14;2,10
горнодобывающе;14;2,11
бортпроводнице;14;2,12
взяточническое;14;3
грузоподъёмное;14;3,10
азотобактерине;14;3,12
бледно-голубое;14;3,13
казённокоштное;14;4,9
высокоактивное;14;4,10
дубинноголовое;14;4,11
архаромериносе;14;4,12
душевнобольное;14;4,13
бродяжническое;14;5
беспроигрышное;14;6
генерал-майоре;14;6,12
внутричерепное;14;6,13
архидиаконское;14;7
абитуриентское;14;8
безалкалоидное;14;9
аббревиатурное;14;10
импрессионизме;14;11
кандиль-синапе;14;12
второочередное;14;13
полупроводнике;14;14
светло-коричнев;15;3,11
пресвитерианцев;15;11
светло-коричнева;16;3,11
светло-коричневое;17;3,11
почетырехрублевее;17;8,14
понеразговорчивее;17;11
переподготавливалась;20;11
нищенствовавшее;15;2
малообщительнее;15;2,8
силосоуборочнее;15;2,9
мотороремонтнее;15;2,10
межбиблиотечнее;15;2,11
лучепреломление;15;2,12
смудрствовавшее;15;3
эфирномасличнее;15;3,8
хлопкоуборочнее;15;3,9
звукосигнальнее;15;3,10
пообщепартийнее;15;3,11
звукоподражание;15;3,12
полиственничнее;15;4
помалоизученнее;15;4,9
помалоземельнее;15;4,10
позонтиковиднее;15;4,11
народонаселение;15;4,12
пиршествовавшее;15;5
похлебобулочнее;15;5,9
посреднеязычнее;15;5,11
пятнадцатилетие;15;5,12
поневыдержаннее;15;6
польноуборочнее;15;6,9
польночесальнее;15;6,10
покафешантаннее;15;6,11
землевольческие;15;7
позигзаговиднее;15;7,11
позажигательнее;15;8
почетырёхлётнее;15;8,11
позаколдованнее;15;9
поизоклинальнее;15;10
поидеалистичнее;15;11
искусствознание;15;12
пополушерстянее;15;14
парторганизацией;16;2,12
профорганизацией;16;3,12
экономгеографией;16;5,12
переорганизацией;16;12
кристаллоскопией;16;14
неоимпрессионизма;17;2,14
эмпириокритицизма;17;4,14
неоимпрессионизме;17;2,14
эмпириокритицизме;17;4,14
неоимпрессионизмов;18;2,14
эмпириокритицизмов;18;4,14
лучепреломлении;15;2,12
звукоподражании;15;3,12
народонаселении;15;4,12
пятнадцатилетии;15;5,12
передразнивании;15;7
зарегулировании;15;8
искусствознании;15;12
кристаллоскопии;15;14
малообщительней;15;2,8
силосоуборочней;15;2,9
койкоснимателей;15;2,10
межбиблиотечней;15;2,11
лучепреломлений;15;2,12
эфирномасличней;15;3,8
хлопкоуборочней;15;3,9
звукосигнальней;15;3,10
пообщепартийней;15;3,11
звукоподражаний;15;3,12
полиственничней;15;4
помалоизученней;15;4,9
помалоземельней;15;4,10
позонтиковидней;15;4,11
народонаселений;15;4,12
похлебобулочней;15;5,9
посреднеязычней;15;5,11
поневыдержанней;15;6
польноуборочней;15;6,9
польночесальней;15;6,10
покафешантанней;15;6,11
кандиль-синап;13;12
бундесканцлер;13;2,8
газогенератор;13;2,10
газоаппаратур;13;2,12
звукооператор;13;3,10
генерал-майор;13;6,12
дезинтегратор;13;10
дезинтеграторе;14;10
архаромеринос;13;4,12
гетерогенезис;13;10
миллиграммовые;14;8
кристаллографе;14;9
гетерогенезисе;14;10
крупнозернист;13;3,11
пресс-автомат;13;3,12
выскальзывает;13;5
приват-доцент;13;5,11
поторговывает;13;7
ниспровергнет;13;8
подзаработает;13;9
насумасбродит;13;10
зарекомендует;13;11
переобременит;13;12
многоплемённые;14;10
зарекомендуете;14;11
малоразговорчив;15;2,11
малоразговорчива;16;2,11
малоразговорчивое;17;2,11
маслодобывающее;15;2,11
крупнозернистее;15;3,11
лукавствовавшее;15;4
помелкозубчатее;15;4,9
подвустворчатее;15;9
помногозначащее;15;10
нафабриковавшее;15;11
кристаллографией;16;12
кристаллографии;15;12
качественностей;15;2
маслодобывающий;15;2,11
парторганизаций;15;2,12
воинственностей;15;3
электроёмкостей;15;3,8
крупнозернистей;15;3,11
профорганизаций;15;3,12
божественностей;15;4
помелкозубчатей;15;4,9
безветренностей;15;5
пятнадцатилетий;15;5,12
безалаберностей;15;6
асексуальностей;15;7
позигзаговидней;15;7,11
апокрифичностей;15;8
почетырёхлётней;15;8,11
подвустворчатей;15;9
поизоклинальней;15;10
поидеалистичней;15;11
искусствознаний;15;12
кристаллоскопий;15;14
вибропогружателе;16;2,12
звукоподражателе;16;3,12
первооткрывателе;16;12
вибропогружатели;16;2,12
звукоподражатели;16;3,12
первооткрыватели;16;12
овощехранилищем;15;1,10
нищенствовавшим;15;2
койкоснимателем;15;2,10
маслодобывающим;15;2,11
быстрорастворим;15;2,14
смудрствовавшим;15;3
звукоснимателем;15;3,10
плодоизгоняющим;15;3,11
скоропреходящим;15;3,12
лукавствовавшим;15;4
стрелометателем;15;4,10
пиршествовавшим;15;5
неудобоисполним;15;5,14
откомандовавшим;15;6
землевольческим;15;7
иллюстраторским;15;8
облагозвучившим;15;9
казнохранителем;15;10
нафабриковавшим;15;11
быстрорастворима;16;2,14
неудобоисполнима;16;5,14
нищенствовавшими;16;2
неогегельянскими;16;2,10
маслодобывающими;16;2,11
смудрствовавшими;16;3
урало-алтайскими;16;3,10
плодоизгоняющими;16;3,11
скоропреходящими;16;3,12
лукавствовавшими;16;4
пиршествовавшими;16;5
откомандовавшими;16;6
землевольческими;16;7
иллюстраторскими;16;8
облагозвучившими;16;9
консерваторскими;16;10
нафабриковавшими;16;11
быстрорастворимое;17;2,14
неудобоисполнимое;17;5,14
общелитературен;15;1,12
малосущественен;15;2,8
газогенераторен;15;2,10
северо-восточен;15;2,12
птицеоткормочен;15;3,9
широковещателен;15;4,10
пятнадцатилетен;15;5,12
преимущественен;15;6
непосредственен;15;7
зеленолиственен;15;8
свинооткормочен;15;9
кровосмесителен;15;10
переподготовлен;15;11
благоприобретен;15;12
лжесвидетельница;16;3,8
двенадцатисложна;16;5,13
законодательница;16;8
переподготовлена;16;11
благоприобретена;16;12
противогриппозна;16;13
лжесвидетельнице;16;3,8
правительствуете;16;5
